listCategories,100,20,6,41,4,360,0.0,1.5070454374199382,0.9080537450079119
listMovieByCategory,100,33,25,63,13,147,0.0,1.5149219815179518,54.44021561600515
viewCart,100,17,12,40,4,82,0.0,1.5161622900115228,2.3986161228697918
searchMovie,100,6085,6433,7762,2017,8656,0.0,1.455455775976247,51.564111803564415
searchUser,100,62,31,165,17,473,0.0,1.4991604701367234,74.9843759369753
signInUser,100,15,14,23,4,200,0.0,1.5009606147934678,1.2884222464877522
TOTAL,600,1039,21,6246,4,8656,0.0,8.672650795715711,179.84864417559226
