sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
listCategories,100,17,5,36,4,378,0.0,1.4747739908858968,0.8886089378677717
listMovieByCategory,100,34,25,64,13,150,0.0,1.4827115829428859,53.81490106606962
viewCart,100,17,14,37,5,185,0.0,1.4838996883810653,2.3475756788841076
searchMovie,100,6054,6129,8566,1867,9244,0.0,1.4440433212996389,51.67108528880866
searchUser,100,60,31,152,13,323,0.0,1.4920028646455001,74.6263698451301
signInUser,100,16,11,36,4,112,0.0,1.4947459679227515,1.283087603324315
TOTAL,600,1033,21,5783,4,9244,0.0,8.603507363168386,179.43718050516927
