sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
listCategories,100,19,14,41,3,64,0.0,1.4779562820531769,0.8905263926043068
listMovieByCategory,100,38,27,76,12,159,0.0,1.477432222796779,52.56268121629608
viewCart,100,30,20,56,3,228,0.0,1.4773885679672611,2.3270312707757768
searchMovie,100,12790,12637,16955,1721,18769,0.0,1.440797625565513,51.554947068697224
searchUser,100,58,41,100,12,280,0.0,1.7018669480420021,85.12326303204615
signInUser,100,16,15,22,3,99,0.0,1.7067467699817378,1.4650687605604955
TOTAL,600,2158,27,12096,3,18769,0.0,8.636573007830494,179.08350216634042
