timeStamp,elapsed,label,responseMessage
1354360375945,7660,searchMovie,OK
1354360383627,123,searchUser,OK
1354360383621,136,listMovieByCategory,OK
1354360383781,5,viewCart,OK
1354360383780,7,signInUser,OK
1354360383812,15,listCategories,OK
1354360383855,28,listMovieByCategory,OK
1354360383898,16,viewCart,OK
1354360377764,7764,searchMovie,OK
1354360378249,7360,searchMovie,OK
1354360385543,34,searchUser,OK
1354360385625,45,searchUser,OK
1354360385696,5,signInUser,OK
1354360385696,8,signInUser,OK
1354360377260,8458,searchMovie,OK
1354360385724,9,listCategories,OK
1354360385734,5,listCategories,OK
1354360385738,39,searchUser,OK
1354360385858,50,listMovieByCategory,OK
1354360385869,39,listMovieByCategory,OK
1354360385871,41,signInUser,OK
1354360385940,13,viewCart,OK
1354360385940,8,viewCart,OK
1354360385943,12,listCategories,OK
1354360385982,46,listMovieByCategory,OK
1354360386067,47,viewCart,OK
1354360379773,7393,searchMovie,OK
1354360387182,155,searchUser,OK
1354360387356,15,signInUser,OK
1354360387382,5,listCategories,OK
1354360387399,15,listMovieByCategory,OK
1354360387429,5,viewCart,OK
1354360381775,6505,searchMovie,OK
1354360388295,21,searchUser,OK
1354360388332,5,signInUser,OK
1354360388349,4,listCategories,OK
1354360388366,52,listMovieByCategory,OK
1354360388432,17,viewCart,OK
1354360383925,5931,searchMovie,OK
1354360389870,32,searchUser,OK
1354360389928,16,signInUser,OK
1354360389956,7,listCategories,OK
1354360382532,7457,searchMovie,OK
1354360389985,14,listMovieByCategory,OK
1354360390019,18,viewCart,OK
1354360390019,23,searchUser,OK
1354360390061,16,signInUser,OK
1354360390106,14,listCategories,OK
1354360390132,24,listMovieByCategory,OK
1354360390172,18,viewCart,OK
1354360383339,6950,searchMovie,OK
1354360383574,6742,searchMovie,OK
1354360390353,71,searchUser,OK
1354360390446,5,signInUser,OK
1354360390463,5,listCategories,OK
1354360390357,123,searchUser,OK
1354360390481,16,listMovieByCategory,OK
1354360390518,6,signInUser,OK
1354360390521,6,viewCart,OK
1354360390546,10,listCategories,OK
1354360390567,155,listMovieByCategory,OK
1354360390737,16,viewCart,OK
1354360383808,7247,searchMovie,OK
1354360391069,31,searchUser,OK
1354360391116,15,signInUser,OK
1354360391143,4,listCategories,OK
1354360391158,24,listMovieByCategory,OK
1354360391213,15,viewCart,OK
1354360385979,6331,searchMovie,OK
1354360385980,6506,searchMovie,OK
1354360392347,236,searchUser,OK
1354360392499,83,searchUser,OK
1354360386126,6474,searchMovie,OK
1354360392623,5,signInUser,OK
1354360392623,6,signInUser,OK
1354360392650,5,listCategories,OK
1354360392650,5,listCategories,OK
1354360392625,47,searchUser,OK
1354360392690,11,listMovieByCategory,OK
1354360392692,9,signInUser,OK
1354360392752,36,listCategories,OK
1354360392752,42,viewCart,OK
1354360392690,100,listMovieByCategory,OK
1354360392814,5,viewCart,OK
1354360392816,44,listMovieByCategory,OK
1354360392874,48,viewCart,OK
1354360387446,7646,searchMovie,OK
1354360395106,33,searchUser,OK
1354360395155,15,signInUser,OK
1354360395214,13,listCategories,OK
1354360395239,24,listMovieByCategory,OK
1354360395278,5,viewCart,OK
1354360388461,7492,searchMovie,OK
1354360395967,114,searchUser,OK
1354360396097,15,signInUser,OK
1354360396124,4,listCategories,OK
1354360396140,24,listMovieByCategory,OK
1354360396208,39,viewCart,OK
1354360390059,7509,searchMovie,OK
1354360390549,7128,searchMovie,OK
1354360391239,6500,searchMovie,OK
1354360397616,216,searchUser,OK
1354360397691,139,searchUser,OK
1354360397805,44,searchUser,OK
1354360397893,38,signInUser,OK
1354360397919,14,signInUser,OK
1354360397916,20,signInUser,OK
1354360397954,4,listCategories,OK
1354360397956,5,listCategories,OK
1354360397954,26,listCategories,OK
1354360397971,20,listMovieByCategory,OK
1354360397980,43,listMovieByCategory,OK
1354360398027,12,viewCart,OK
1354360398022,17,listMovieByCategory,OK
1354360398245,31,viewCart,OK
1354360390211,8065,searchMovie,OK
1354360398262,16,viewCart,OK
1354360398416,131,searchUser,OK
1354360392814,5742,searchMovie,OK
1354360398571,64,searchUser,OK
1354360398571,71,signInUser,OK
1354360392935,5756,searchMovie,OK
1354360390764,8013,searchMovie,OK
1354360398685,141,signInUser,OK
1354360398689,136,listCategories,OK
1354360398791,55,searchUser,OK
1354360398716,145,searchUser,OK
1354360398878,10,listCategories,OK
1354360398893,26,listMovieByCategory,OK
1354360398894,32,signInUser,OK
1354360398906,37,listMovieByCategory,OK
1354360398906,46,signInUser,OK
1354360398990,11,viewCart,OK
1354360398993,8,listCategories,OK
1354360398988,18,listCategories,OK
1354360399021,27,listMovieByCategory,OK
1354360399044,44,listMovieByCategory,OK
1354360399066,51,viewCart,OK
1354360399220,7,viewCart,OK
1354360398987,89,viewCart,OK
1354360392831,7308,searchMovie,OK
1354360400153,30,searchUser,OK
1354360400225,15,signInUser,OK
1354360400252,14,listCategories,OK
1354360400278,22,listMovieByCategory,OK
1354360400315,25,viewCart,OK
1354360395295,7363,searchMovie,OK
1354360396259,6489,searchMovie,OK
1354360402762,302,searchUser,OK
1354360402675,383,searchUser,OK
1354360403106,5,signInUser,OK
1354360403125,27,listCategories,OK
1354360403105,50,signInUser,OK
1354360403176,11,listCategories,OK
1354360403173,14,listMovieByCategory,OK
1354360403202,29,listMovieByCategory,OK
1354360403300,33,viewCart,OK
1354360403203,149,viewCart,OK
1354360399239,5342,searchMovie,OK
1354360404617,46,searchUser,OK
1354360404679,15,signInUser,OK
1354360404706,14,listCategories,OK
1354360404732,22,listMovieByCategory,OK
1354360404770,30,viewCart,OK
1354360400351,5196,searchMovie,OK
1354360405653,31,searchUser,OK
1354360405699,16,signInUser,OK
1354360405726,5,listCategories,OK
1354360405743,24,listMovieByCategory,OK
1354360405800,19,viewCart,OK
1354360398352,8136,searchMovie,OK
1354360406502,32,searchUser,OK
1354360406564,36,signInUser,OK
1354360398259,8442,searchMovie,OK
1354360406632,70,listCategories,OK
1354360398417,8279,searchMovie,OK
1354360406751,40,searchUser,OK
1354360406760,56,searchUser,OK
1354360406751,64,listMovieByCategory,OK
1354360406840,5,viewCart,OK
1354360406845,12,signInUser,OK
1354360406842,48,signInUser,OK
1354360406902,4,listCategories,OK
1354360406902,12,listCategories,OK
1354360399019,7915,searchMovie,OK
1354360406918,21,listMovieByCategory,OK
1354360406930,34,listMovieByCategory,OK
1354360406964,27,viewCart,OK
1354360406962,29,searchUser,OK
1354360407019,6,signInUser,OK
1354360406980,68,viewCart,OK
1354360407038,23,listCategories,OK
1354360407112,24,listMovieByCategory,OK
1354360407154,17,viewCart,OK
1354360399241,8537,searchMovie,OK
1354360407796,157,searchUser,OK
1354360407971,16,signInUser,OK
1354360407998,16,listCategories,OK
1354360408025,23,listMovieByCategory,OK
1354360408069,23,viewCart,OK
1354360399223,8924,searchMovie,OK
1354360408221,22,searchUser,OK
1354360408266,7,signInUser,OK
1354360408284,6,listCategories,OK
1354360408302,15,listMovieByCategory,OK
1354360408351,7,viewCart,OK
1354360403364,5045,searchMovie,OK
1354360408424,31,searchUser,OK
1354360408471,15,signInUser,OK
1354360408497,4,listCategories,OK
1354360408512,35,listMovieByCategory,OK
1354360408562,21,viewCart,OK
1354360403345,7164,searchMovie,OK
1354360410538,44,searchUser,OK
1354360410597,15,signInUser,OK
1354360410623,24,listCategories,OK
1354360410659,28,listMovieByCategory,OK
1354360410702,21,viewCart,OK
1354360404837,6194,searchMovie,OK
1354360411095,39,searchUser,OK
1354360411150,20,signInUser,OK
1354360411182,14,listCategories,OK
1354360411217,24,listMovieByCategory,OK
1354360411275,18,viewCart,OK
1354360406857,6096,searchMovie,OK
1354360412984,95,searchUser,OK
1354360413095,14,signInUser,OK
1354360413121,4,listCategories,OK
1354360413137,13,listMovieByCategory,OK
1354360413190,18,viewCart,OK
1354360405830,7893,searchMovie,OK
1354360413739,31,searchUser,OK
1354360413803,15,signInUser,OK
1354360413829,15,listCategories,OK
1354360413856,12,listMovieByCategory,OK
1354360413882,17,viewCart,OK
1354360407062,7021,searchMovie,OK
1354360414103,22,searchUser,OK
1354360414141,20,signInUser,OK
1354360414172,4,listCategories,OK
1354360414188,14,listMovieByCategory,OK
1354360414217,18,viewCart,OK
1354360407007,7328,searchMovie,OK
1354360414350,23,searchUser,OK
