sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
listCategories,100,16,5,22,4,462,0.0,1.4747739908858968,0.8823296267347028
listMovieByCategory,100,37,26,69,13,372,0.0,1.4842741157436954,52.273336847661525
viewCart,100,15,13,23,4,113,0.0,1.4856412770572418,2.3503309265944643
searchMovie,100,6173,6052,8495,2070,9572,0.0,1.4414829977080421,51.373581265405846
searchUser,100,62,31,163,13,395,0.0,1.495282384078233,74.7904034645693
signInUser,100,17,14,27,4,202,0.0,1.499093048705533,1.2868191306759411
TOTAL,600,1053,20,5774,4,9572,0.0,8.577432774370632,177.14371321085477
